name,type,address,city,full_address
Nonna Angela Residencia para Mayores,Geriátrico,Patricias Argentinas 71,Maipú,"Patricias Argentinas 71, Maipú, Mendoza, Argentina"
Hospital Héctor Elías Gailhac,Hospital Público,Aristóbulo del Valle 1359,Las Heras,"Aristóbulo del Valle 1359, Las Heras, Mendoza, Argentina"
Hospital Ministro Ramón Carrillo,Hospital Público,Prolongación Martín Fierro y Álvarez Condarco,Las Heras,"Prolongación Martín Fierro y Álvarez Condarco, Las Heras, Mendoza, Argentina"
Clínica Las Heras,Clínica Privada,San Martín 1290,Las Heras,"San Martín 1290, Las Heras, Mendoza, Argentina"
Geriátrico Convivencia,Geriátrico,San Martín 1277,Las Heras,"San Martín 1277, Las Heras, Mendoza, Argentina"
Geriátrico Giovanni,Geriátrico,Las Lilas 2367,Las Heras,"Las Lilas 2367, Las Heras, Mendoza, Argentina"
Sanatorio Regional Luján,Clínica Privada,San Martín 928,Luján de Cuyo,"San Martín 928, Luján de Cuyo, Mendoza, Argentina"
Awki Residencia Para Gente Grande,Geriátrico,Guardia Vieja 145,Luján de Cuyo,"Guardia Vieja 145, Luján de Cuyo, Mendoza, Argentina"
Hebras de Plata Residencia para Mayores,Geriátrico,Libertad 1077,Luján de Cuyo,"Libertad 1077, Luján de Cuyo, Mendoza, Argentina"
Hogar Mis Nonos IV - Chacras de Coria,Geriátrico,Las Cortaderas 7845,Luján de Cuyo,"Las Cortaderas 7845, Chacras de Coria, Luján de Cuyo, Mendoza, Argentina"
Fuente de Vida 2,Geriátrico,Pueyrredón 397,Luján de Cuyo,"Pueyrredón 397, Luján de Cuyo, Mendoza, Argentina"
